weird watcher fl corner in front + U,M' U' L' U Lw L' U L,"U' L' U' L Dw R U' R',L F' L' F L' U' L U' L' U' L"
weird watcher fl corner on side,U L' U' L Lw' U L U' L' U' Lw,"U' R' F R U R' F' R U L' U' L,L' U L Dw R U' R' U R U R'"
weird watcher fl corner on side + U',L' U' L Lw' U L U' L' U' Lw,"U' U L' U' L Lw' U L U' L' U' Lw,L F' L' F U L' U2 L U L' U' L"
weird watcher fl corner on side + U2,F U F' U' L' U L,U' L' U' L Lw' U L U' L' U' Lw
weird watcher fl corner on side + U,R' F R U R' F' R U L' U' L,""
weird watcher br corner in back,R' F R' F' R U R U' R' U' R,"R' U R Dw L U' L' U L U L',Dw' R U R' Dw R' U' R"
weird watcher br corner in back + U',U R' F R' F' R U R U' R' U' R,"Rw' U Rw U Rw' U' Rw U R' U' R,R' U R U2 R' U2 R' F R F' R"
weird watcher br corner in back + U2,U' R' U' R Rw' U R U' R' U' Rw,"y R U R' Dw' L' U L,M U' R' U M' U' R U' R' U' R,U2 R' F R' F' R U R U' R' U' R"
weird watcher br corner in back + U,U' R' F R' F' R U R U' R' U' R,R' U' R Rw' U R U' R' U' Rw
weird watcher br corner on side,U R' F R' F' R U' R,""
weird watcher br corner on side + U',U2 R' F R' F' R U' R,M U' R' U M' U R
weird watcher br corner on side + U2,U' R' F R' F' R U' R,"R' U' R Dw L U' L',R' U' R U Rw' U Rw U' Rw' U' Rw"
weird watcher br corner on side + U,R' F R' F' R U' R,R' U' R Dw' R U R'
weird watcher bl corner in back,L F' L F L' U' L' U L U L',"L U' L' Dw' R' U R U' R' U' R,Dw L' U' L Dw' L U L',y U R' F R' F' R U' R"
weird watcher bl corner in back + U',y R' F R' F' R U' R,"Lw U' Lw' U' Lw U Lw' U' L U L',L U' L' U2 L U2 L F' L' F L'"
weird watcher bl corner in back + U2,y U' R' F R' F' R U' R,"U L U L' Lw U' L' U L U Lw',M U L U' M' U L' U L U L',y' L' U' L Dw R U' R'"
weird watcher bl corner in back + U,U L F' L F L' U' L' U L U L',L U L' Lw U' L' U L U Lw'
weird watcher bl corner on side,U' L F' L F L' U L',""
weird watcher bl corner on side + U',U2 L F' L F L' U L',"M U L U' M' U' L',U L U L' U' Lw U' Lw' U Lw U Lw'"
weird watcher bl corner on side + U2,U L F' L F L' U L',"L U L' Dw' R' U R,L U L' U' Lw U' Lw' U Lw U Lw'"
weird watcher bl corner on side + U,L F' L F L' U L',L U L' Dw L' U' L
solved edge fr corner in front,U' R U' R' U2 R U' R',""
solved edge fr corner in front + U',R U' R' U2 R U' R',""
solved edge fr corner in front + U2,U R U' R' U2 R U' R',""
solved edge fr corner in front + U,U2 R U' R' U2 R U' R',""
solved edge fr corner on side,U R U R' U2 R U R',U' R U2 R' U R U R'
solved edge fr corner on side + U',R U2 R' U R U R',""
solved edge fr corner on side + U2,U' R U R' U2 R U R',U R U2 R' U R U R'
solved edge fr corner on side + U,R U R' U2 R U R',U2 R U2 R' U R U R'
solved edge fl corner in front,U L' U L U2 L' U L,""
solved edge fl corner in front + U',L' U L U2 L' U L,""
solved edge fl corner in front + U2,U' L' U L U2 L' U L,""
solved edge fl corner in front + U,U2 L' U L U2 L' U L,""
solved edge fl corner on side,U L' U2 L U' L' U' L,""
solved edge fl corner on side + U',L' U2 L U' L' U' L,""
solved edge fl corner on side + U2,U' L' U2 L U' L' U' L,""
solved edge fl corner on side + U,L' U' L U2 L' U' L,U2 L' U2 L U' L' U' L
solved edge br corner in back,U R' U2 R U' R' U' R,""
solved edge br corner in back + U',R' U' R U2 R' U' R,U2 R' U2 R U' R' U' R
solved edge br corner in back + U2,U' R' U2 R U' R' U' R,""
solved edge br corner in back + U,R' U2 R U' R' U' R,""
solved edge br corner on side,U R' U R U2 R' U R,""
solved edge br corner on side + U',U2 R' U R U2 R' U R,""
solved edge br corner on side + U2,U' R' U R U2 R' U R,""
